brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Αυτονομίαμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Σύνολοκατόχων,Χρηματοδότηση,Παράδοσηστοσπίτι
Jaguar,I-Pace,2019,"Jaguar I-Pace '19 Panorama,Head-up, 360, Active","JaguarI-PacePanorama,Head-up,360,ActiveAir-suspension'19",334423801,49.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,11/2019,38.054χλμ,Ηλεκτρικό,,555χλμ,400bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μπεζ,Δέρμα,5/2025,,20ίντσες,,,,Χωρίς,4x4(4WD),9,5,5,12λεπτάπριν,150,www.car.gr/334423801,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",298kw,13ώρες,1ώρες,90kwh,,,
Abarth,500,2010,Abarth 500 '10 C 1.4 16V Sport,Abarth500C1.416VSportDualogic'10,332743695,14.950€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2010,151.205χλμ,Βενζίνη,1.368cc,,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,12/2023,151g/km,17ίντσες,Euro5,255€,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,12λεπτάπριν,812,www.car.gr/332743695,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,,,
Jaguar,I-Pace,2019,"Jaguar I-Pace '19 HSE, Performance, Carbon, 22"", Pano, Active","JaguarI-PaceHSE,Performance,Carbon,22"",Pano,ActiveB.C.'19",334422840,59.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,10/2019,45.305χλμ,Ηλεκτρικό,,555χλμ,400bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,3/2025,,20ίντσες,,,,Μονό,4x4(4WD),9,5,5,12λεπτάπριν,62,www.car.gr/334422840,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Αντικλεπτικό gps', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Μπλοκέ διαφορικό', '{Οθόνη tft', '{Οροφή πανοραμική', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",298kw,13ώρες,1ώρες,90kwh,,,
Smart,ForTwo,2015,Smart ForTwo '15 city-coupé passion,SmartForTwocity-coupépassionmanual'15,331749897,8.890€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2015,87.570χλμ,Βενζίνη,999cc,,71bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,93g/km,15ίντσες,Euro6,83€,"4,10(Μικτό)λ/100χλμ",Χωρίς,Πισωκίνητο(RWD),5,3,2,13λεπτάπριν,448,www.car.gr/331749897,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Citroen,E-MEHARI,2016,Citroen E-MEHARI,CitroenE-MEHARI'16,334373873,14.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2016,51.130χλμ,Ηλεκτρικό,,200χλμ,67bhp,Αυτόματο,Κόκκινο(Μεταλλικό),Μπεζ,Δέρμα,,,15ίντσες,,,,Χωρίς,Προσθιοκίνητο(FWD),4,3,4,13λεπτάπριν,216,www.car.gr/334373873,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή πανοραμική', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",50kw,8ώρες,,30kwh,,,
Porsche,Cayenne,2020,Porsche Cayenne '20 Coupe E-Hybrid Launch,PorscheCayenneCoupeE-HybridLaunchcontrol'20,330910549,124.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2020,41.500χλμ,Υβριδικόplug-inβενζίνη,2.995cc,36χλμ,462bhp,Αυτόματο,Γκρι(Μεταλλικό),Μπεζ,Δέρμα,12/2024,72g/km,21ίντσες,Euro6,0€,"3,20(Μικτό)λ/100χλμ",Ζυγό,AWD,8,5,5,13λεπτάπριν,585,www.car.gr/330910549,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Tv\\u002Fcamera', '{Usb', '{Αερανάρτηση', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Συναγερμός', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,2ώρες,,14kwh,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X3,2016,Bmw X3 '16,BmwX3sDrive18d'16,323551359,28.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,3/2016,102.330χλμ,Πετρέλαιο,1.995cc,,150bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,132g/km,17ίντσες,Euro6,158€,"5,10(Μικτό)λ/100χλμ",Μονό,Πισωκίνητο(RWD),8,5,5,13λεπτάπριν,3703,www.car.gr/323551359,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,
Mazda,MX-30,2020,Mazda MX-30 '20 First Edition Modern,MazdaMX-30FirstEditionModernConfidence'20,323523602,26.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,9/2020,15.541χλμ,Ηλεκτρικό,,255χλμ,143bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,,,18ίντσες,,,,Ζυγό,Προσθιοκίνητο(FWD),9,5,5,13λεπτάπριν,12209,www.car.gr/323523602,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά καθίσματα', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",107kw,10ώρες,1ώρες,36kwh,,,
Mini,Countryman,2019,Mini Countryman '19 Cooper,MiniCountrymanCooperSE'19,333061451,34.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2019,49.077χλμ,Υβριδικόβενζίνη,1.499cc,51χλμ,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,43g/km,17ίντσες,Euro6,0€,"1,90(Μικτό)λ/100χλμ",Χωρίς,4x4(4WD),8,5,5,13λεπτάπριν,241,www.car.gr/333061451,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,10kwh,,,
Abarth,500,2010,Abarth 500 '10 C 1.4 16V Sport,Abarth500C1.416VSportDualogic'10,332887204,14.950€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2010,151.205χλμ,Βενζίνη,1.368cc,,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,12/2023,151g/km,17ίντσες,Euro5,255€,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,13λεπτάπριν,795,www.car.gr/332887204,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,,
Audi,A3,2016,Audi A3 '16 Sportback 1.6 TDI,AudiA3Sportback1.6TDI6τάχυτο'16,332032955,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,4/2016,138.295χλμ,Πετρέλαιο,1.598cc,,110bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,3/2025,99g/km,16ίντσες,Euro6,89€,"3,90(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),7,5,5,13λεπτάπριν,1075,www.car.gr/332032955,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,
Bmw,X1,2020,Bmw X1 '20  xDrive25e Sport Line,BmwX1xDrive25eSportLineSteptronic'20,331088046,41.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2020,34.556χλμ,Υβριδικόβενζίνη,1.499cc,50χλμ,220bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,,41g/km,18ίντσες,Euro6,0€,"1,80(Μικτό)λ/100χλμ",Χωρίς,AWD,10,5,5,13λεπτάπριν,1038,www.car.gr/331088046,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,3ώρες,,10kwh,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmw,X1,2015,Bmw X1 '15  sDrive16,BmwX1sDrive16Auto'15,334245127,17.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,2/2015,137.573χλμ,Βενζίνη,1.592cc,,143bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα-ύφασμα,1/2025,170g/km,18ίντσες,Euro6,416€,"5,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),6,5,5,13λεπτάπριν,397,www.car.gr/334245127,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,
Mini,OneClubman,2016,Mini One Clubman '16,MiniOneClubmanD'16,332910038,15.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2016,159.000χλμ,Πετρέλαιο,1.496cc,,116bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,102g/km,17ίντσες,Euro6,99€,"4,10(Μικτό)λ/100χλμ",Ζυγό,Προσθιοκίνητο(FWD),8,5,5,13λεπτάπριν,334,www.car.gr/332910038,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού']",,,,,,,
Dacia,Spring,2023,Dacia Spring '23 EXTREME ΠΡΟΣΦΟΡΑ ΜΕΧΡΙ,DaciaSpringEXTREMEΠΡΟΣΦΟΡΑΜΕΧΡΙ30/6'23,334344645,21.188€,,Αλλο,8/2023Καινούριο,,Ηλεκτρικό,,310χλμ,65bhp,Αυτόματο,Άλλο,,Δέρμα,,,,,,,Άγνωστο,,6,5,4,4ώρεςπριν,818,www.car.gr/334344645,"2109578933,2109532005,6941668010","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Navigation - gps', 'Parktronic', 'Usb', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Ράγες οροφής', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",48kw,,1ώρες,27kwh,,"318,75€/μήνα",
Peugeot,3008,2023,Peugeot 3008 '23 ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ  / PEUGEOT,Peugeot3008ΕΤΟΙΜΟΠΑΡΑΔΟΤΟ/PEUGEOTBESIKOSⓇ'23,333239288,27.900€,,4χ4/Τζιπ/Suv,5/2023Καινούριο,,Βενζίνη,1.199cc,,130bhp,Χειροκίνητο,Μπλεσκούρο(Μεταλλικό),Δίχρωμο,Ύφασμα,,138g/km,17ίντσες,Euro6d,,"6,10(Μικτό)λ/100χλμ",Άγνωστο,Προσθιοκίνητο(FWD),6,5,5,21ώρεςπριν,6333,www.car.gr/333239288,"2108001111,2108002222,6945140042","['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Βιβλίο service', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,,,"433,47€/μήνα",Ναι
LandRover,RangeRoverSport,2014,Land Rover Range Rover Sport '14 ΕΛΛΗΝΙΚΟ 65.000,LandRoverRangeRoverSportΕΛΛΗΝΙΚΟ65.000ΧΛΜ'14,322226074,68.000€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2014,65.000χλμ,Πετρέλαιο,3.000cc,,306bhp,Αυτόματο,Ασπρο,Ασπρο,Δέρμα,,,20ίντσες,,,,Ζυγό,,,5,5,11ώρεςπριν,169,www.car.gr/322226074,6951375685,"['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Dvd', 'Eco start\\u002Fstop', 'Esp', 'Hardtop', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Οροφή πανοραμική', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon']",,,,,,,
Volkswagen,Tiguan,2010,Volkswagen Tiguan '10  2.0 TSI,VolkswagenTiguan2.0TSI4MOTION'10,328789673,9.900€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2010,184.000χλμ,Βενζίνη,1.984cc,,200bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,,8/2024,,,,,,Μονό,4x4(4WD),,5,5,14ώρεςπριν,6455,www.car.gr/328789673,6986649968,"['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Υδραυλικό τιμόνι']",,,,,3,,
